CVE_id,CVSS,From,Upto,cpe,cwe,description,patch
CVE-2016-6302,7.5 HIGH,,,"[['1.0.1'], ['1.0.1a'], ['1.0.1b'], ['1.0.1c'], ['1.0.1d'], ['1.0.1e'], ['1.0.1f'], ['1.0.1g'], ['1.0.1h'], ['1.0.1i'], ['1.0.1j'], ['1.0.1k'], ['1.0.1l'], ['1.0.1m'], ['1.0.1n'], ['1.0.1o'], ['1.0.1p'], ['1.0.1q'], ['1.0.1r'], ['1.0.1s'], ['1.0.1t'], ['1.0.2'], ['1.0.2a'], ['1.0.2b'], ['1.0.2c'], ['1.0.2d'], ['1.0.2e'], ['1.0.2f'], ['1.0.2g'], ['1.0.2h']]",CWE-20,"The tls_decrypt_ticket function in ssl/t1_lib.c in OpenSSL before 1.1.0 does not consider the HMAC size during validation of the ticket length, which allows remote attackers to cause a denial of service via a ticket that is too short.","http://www.oracle.com/technetwork/security-advisory/cpuoct2016-2881722.html,http://www.oracle.com/technetwork/topics/security/bulletinoct2016-3090566.html,http://www.oracle.com/technetwork/topics/security/linuxbulletinoct2016-3090545.html,http://www.oracle.com/technetwork/topics/security/ovmbulletinoct2016-3090547.html,https://git.openssl.org/?p=openssl.git;a=commit;h=e97763c92c655dcf4af2860b3abd2bc4c8a267f9"
CVE-2016-6303,9.8 CRITICAL,,,"[['1.0.1'], ['1.0.1a'], ['1.0.1b'], ['1.0.1c'], ['1.0.1d'], ['1.0.1e'], ['1.0.1f'], ['1.0.1g'], ['1.0.1h'], ['1.0.1i'], ['1.0.1j'], ['1.0.1k'], ['1.0.1l'], ['1.0.1m'], ['1.0.1n'], ['1.0.1o'], ['1.0.1p'], ['1.0.1q'], ['1.0.1r'], ['1.0.1s'], ['1.0.1t'], ['1.0.2'], ['1.0.2a'], ['1.0.2b'], ['1.0.2c'], ['1.0.2d'], ['1.0.2e'], ['1.0.2f'], ['1.0.2g'], ['1.0.2h']]",CWE-787,Integer overflow in the MDC2_Update function in crypto/mdc2/mdc2dgst.c in OpenSSL before 1.1.0 allows remote attackers to cause a denial of service (out-of-bounds write and application crash) or possibly have unspecified other impact via unknown vectors.,"https://bugzilla.redhat.com/show_bug.cgi?id=1370146,https://git.openssl.org/?p=openssl.git;a=commit;h=55d83bf7c10c7b205fffa23fa7c3977491e56c07"
CVE-2016-6304,7.5 HIGH,,,"[['1.0.2'], ['1.0.2'], ['1.0.2'], ['1.0.2'], ['1.0.2a'], ['1.0.2b'], ['1.0.2c'], ['1.0.2d'], ['1.0.2e'], ['1.0.2f'], ['1.0.2h'], ['1.1.0'], ['1.0.1'], ['1.0.1'], ['1.0.1'], ['1.0.1'], ['1.0.1a'], ['1.0.1b'], ['1.0.1c'], ['1.0.1d'], ['1.0.1e'], ['1.0.1f'], ['1.0.1g'], ['1.0.1h'], ['1.0.1i'], ['1.0.1j'], ['1.0.1k'], ['1.0.1l'], ['1.0.1m'], ['1.0.1n'], ['1.0.1o'], ['1.0.1p'], ['1.0.1q'], ['1.0.1r'], ['1.0.1s'], ['1.0.1t']]",CWE-399,"Multiple memory leaks in t1_lib.c in OpenSSL before 1.0.1u, 1.0.2 before 1.0.2i, and 1.1.0 before 1.1.0a allow remote attackers to cause a denial of service (memory consumption) via large OCSP Status Request extensions.",
CVE-2016-6305,7.5 HIGH,,,[['1.1.0']],CWE-20,The ssl3_read_bytes function in record/rec_layer_s3.c in OpenSSL 1.1.0 before 1.1.0a allows remote attackers to cause a denial of service (infinite loop) by triggering a zero-length record in an SSL_peek call.,
CVE-2016-6306,5.9 MEDIUM,,,"[['1.0.1'], ['1.0.1'], ['1.0.1'], ['1.0.1'], ['1.0.1a'], ['1.0.1b'], ['1.0.1c'], ['1.0.1d'], ['1.0.1e'], ['1.0.1f'], ['1.0.1g'], ['1.0.1h'], ['1.0.1i'], ['1.0.1j'], ['1.0.1k'], ['1.0.1l'], ['1.0.1m'], ['1.0.1n'], ['1.0.1o'], ['1.0.1p'], ['1.0.1q'], ['1.0.1r'], ['1.0.1s'], ['1.0.1t'], ['1.0.2'], ['1.0.2'], ['1.0.2'], ['1.0.2'], ['1.0.2a'], ['1.0.2b'], ['1.0.2c'], ['1.0.2d'], ['1.0.2e'], ['1.0.2f'], ['1.0.2h']]",CWE-125,"The certificate parser in OpenSSL before 1.0.1u and 1.0.2 before 1.0.2i might allow remote attackers to cause a denial of service (out-of-bounds read) via crafted certificate operations, related to s3_clnt.c and s3_srvr.c.",
CVE-2015-1790,,,"Up to (including),0.9.8zf","[[], ['1.0.0'], ['1.0.0'], ['1.0.0'], ['1.0.0'], ['1.0.0'], ['1.0.0'], ['1.0.0a'], ['1.0.0b'], ['1.0.0c'], ['1.0.0d'], ['1.0.0e'], ['1.0.0f'], ['1.0.0g'], ['1.0.0h'], ['1.0.0i'], ['1.0.0j'], ['1.0.0k'], ['1.0.0l'], ['1.0.0m'], ['1.0.0n'], ['1.0.0o'], ['1.0.0p'], ['1.0.0q'], ['1.0.0r'], ['1.0.1'], ['1.0.1'], ['1.0.1'], ['1.0.1'], ['1.0.1a'], ['1.0.1b'], ['1.0.1c'], ['1.0.1d'], ['1.0.1e'], ['1.0.1f'], ['1.0.1g'], ['1.0.1h'], ['1.0.1i'], ['1.0.1j'], ['1.0.1k'], ['1.0.1l'], ['1.0.1m'], ['1.0.2'], ['1.0.2'], ['1.0.2a']]",,"The PKCS7_dataDecodefunction in crypto/pkcs7/pk7_doit.c in OpenSSL before 0.9.8zg, 1.0.0 before 1.0.0s, 1.0.1 before 1.0.1n, and 1.0.2 before 1.0.2b allows remote attackers to cause a denial of service (NULL pointer dereference and application crash) via a PKCS#7 blob that uses ASN.1 encoding and lacks inner EncryptedContent data.",
CVE-2015-1791,,,"Up to (including),0.9.8zf","[[], ['1.0.0'], ['1.0.0'], ['1.0.0'], ['1.0.0'], ['1.0.0'], ['1.0.0'], ['1.0.0a'], ['1.0.0b'], ['1.0.0c'], ['1.0.0d'], ['1.0.0e'], ['1.0.0f'], ['1.0.0g'], ['1.0.0h'], ['1.0.0i'], ['1.0.0j'], ['1.0.0k'], ['1.0.0l'], ['1.0.0m'], ['1.0.0n'], ['1.0.0o'], ['1.0.0p'], ['1.0.0q'], ['1.0.0r'], ['1.0.1'], ['1.0.1'], ['1.0.1'], ['1.0.1'], ['1.0.1a'], ['1.0.1b'], ['1.0.1c'], ['1.0.1d'], ['1.0.1e'], ['1.0.1f'], ['1.0.1g'], ['1.0.1h'], ['1.0.1i'], ['1.0.1j'], ['1.0.1k'], ['1.0.1l'], ['1.0.1m'], ['1.0.2'], ['1.0.2'], ['1.0.2a']]",CWE-362,"Race condition in the ssl3_get_new_session_ticket function in ssl/s3_clnt.c in OpenSSL before 0.9.8zg, 1.0.0 before 1.0.0s, 1.0.1 before 1.0.1n, and 1.0.2 before 1.0.2b, when used for a multi-threaded client, allows remote attackers to cause a denial of service (double free and application crash) or possibly have unspecified other impact by providing a NewSessionTicket during an attempt to reuse a ticket that had been obtained earlier.",
CVE-2015-1792,,,"Up to (including),0.9.8zf","[[], ['1.0.0'], ['1.0.0'], ['1.0.0'], ['1.0.0'], ['1.0.0'], ['1.0.0'], ['1.0.0a'], ['1.0.0b'], ['1.0.0c'], ['1.0.0d'], ['1.0.0e'], ['1.0.0f'], ['1.0.0g'], ['1.0.0h'], ['1.0.0i'], ['1.0.0j'], ['1.0.0k'], ['1.0.0l'], ['1.0.0m'], ['1.0.0n'], ['1.0.0o'], ['1.0.0p'], ['1.0.0q'], ['1.0.0r'], ['1.0.1'], ['1.0.1'], ['1.0.1'], ['1.0.1'], ['1.0.1a'], ['1.0.1b'], ['1.0.1c'], ['1.0.1d'], ['1.0.1e'], ['1.0.1f'], ['1.0.1g'], ['1.0.1h'], ['1.0.1i'], ['1.0.1j'], ['1.0.1k'], ['1.0.1l'], ['1.0.1m'], ['1.0.2'], ['1.0.2'], ['1.0.2a']]",CWE-399,"The do_free_upto function in crypto/cms/cms_smime.c in OpenSSL before 0.9.8zg, 1.0.0 before 1.0.0s, 1.0.1 before 1.0.1n, and 1.0.2 before 1.0.2b allows remote attackers to cause a denial of service (infinite loop) via vectors that trigger a NULL value of a BIO data structure, as demonstrated by an unrecognized X.660 OID for a hash function.",
CVE-2015-3216,,,,[['1.0.1e']],CWE-362,"Race condition in a certain Red Hat patch to the PRNG lock implementation in the ssleay_rand_bytes function in OpenSSL, as distributed in openssl-1.0.1e-25.el7 in Red Hat Enterprise Linux (RHEL) 7 and other products, allows remote attackers to cause a denial of service (application crash) by establishing many TLS sessions to a multithreaded server, leading to use of a negative value for a certain length field.",
CVE-2015-1793,6.5 MEDIUM,,,"[['1.0.1n'], ['1.0.1o'], ['1.0.2b'], ['1.0.2c']]",CWE-254,"The X509_verify_cert function in crypto/x509/x509_vfy.c in OpenSSL 1.0.1n, 1.0.1o, 1.0.2b, and 1.0.2c does not properly process X.509 Basic Constraints cA values during identification of alternative certificate chains, which allows remote attackers to spoof a Certification Authority role and trigger unintended certificate verifications via a valid leaf certificate.","http://www.oracle.com/technetwork/security-advisory/cpuapr2016v3-2985753.html,http://www.oracle.com/technetwork/topics/security/cpujan2016-2367955.html,http://www.oracle.com/technetwork/topics/security/cpuoct2015-2367953.html"
CVE-2015-1794,,,,"[['1.0.2'], ['1.0.2a'], ['1.0.2b'], ['1.0.2c'], ['1.0.2d']]",CWE-189,The ssl3_get_key_exchange function in ssl/s3_clnt.c in OpenSSL 1.0.2 before 1.0.2e allows remote servers to cause a denial of service (segmentation fault) via a zero p value in an anonymous Diffie-Hellman (DH) ServerKeyExchange message.,
CVE-2015-3193,,,,"[['1.0.2'], ['1.0.2a'], ['1.0.2b'], ['1.0.2c'], ['1.0.2d']]",CWE-200,"The Montgomery squaring implementation in crypto/bn/asm/x86_64-mont5.pl in OpenSSL 1.0.2 before 1.0.2e on the x86_64 platform, as used by the BN_mod_exp function, mishandles carry propagation and produces incorrect output, which makes it easier for remote attackers to obtain sensitive private-key information via an attack against use of a (1) Diffie-Hellman (DH) or (2) Diffie-Hellman Ephemeral (DHE) ciphersuite.",
CVE-2015-3194,7.5 HIGH,,,"[['1.0.1'], ['1.0.1a'], ['1.0.1b'], ['1.0.1c'], ['1.0.1d'], ['1.0.1e'], ['1.0.1f'], ['1.0.1g'], ['1.0.1h'], ['1.0.1i'], ['1.0.1j'], ['1.0.1k'], ['1.0.1l'], ['1.0.1m'], ['1.0.1n'], ['1.0.1o'], ['1.0.1p'], ['1.0.2'], ['1.0.2a'], ['1.0.2b'], ['1.0.2c'], ['1.0.2d']]",,crypto/rsa/rsa_ameth.c in OpenSSL 1.0.1 before 1.0.1q and 1.0.2 before 1.0.2e allows remote attackers to cause a denial of service (NULL pointer dereference and application crash) via an RSA PSS ASN.1 signature that lacks a mask generation function parameter.,"http://www.oracle.com/technetwork/security-advisory/cpuapr2016v3-2985753.html,http://www.oracle.com/technetwork/security-advisory/cpujul2016-2881720.html,http://www.oracle.com/technetwork/security-advisory/cpuoct2017-3236626.html"
CVE-2015-3195,5.3 MEDIUM,"From (including),1.0.0,From (including),1.0.1,From (including),1.0.2","Up to (excluding),0.9.8zh,Up to (excluding),1.0.0t,Up to (excluding),1.0.1q,Up to (excluding),1.0.2e","[[], [], [], []]",CWE-200,"The ASN1_TFLG_COMBINE implementation in crypto/asn1/tasn_dec.c in OpenSSL before 0.9.8zh, 1.0.0 before 1.0.0t, 1.0.1 before 1.0.1q, and 1.0.2 before 1.0.2e mishandles errors caused by malformed X509_ATTRIBUTE data, which allows remote attackers to obtain sensitive information from process memory by triggering a decoding failure in a PKCS#7 or CMS application.",https://git.openssl.org/?p=openssl.git;a=commit;h=cc598f321fbac9c04da5766243ed55d55948637d
CVE-2015-3196,,,,"[['1.0.0'], ['1.0.0a'], ['1.0.0b'], ['1.0.0c'], ['1.0.0d'], ['1.0.0e'], ['1.0.0f'], ['1.0.0g'], ['1.0.0h'], ['1.0.0i'], ['1.0.0j'], ['1.0.0k'], ['1.0.0l'], ['1.0.0m'], ['1.0.0n'], ['1.0.0o'], ['1.0.0p'], ['1.0.0q'], ['1.0.0r'], ['1.0.0s'], ['1.0.1'], ['1.0.1a'], ['1.0.1b'], ['1.0.1c'], ['1.0.1d'], ['1.0.1e'], ['1.0.1f'], ['1.0.1g'], ['1.0.1h'], ['1.0.1i'], ['1.0.1j'], ['1.0.1k'], ['1.0.1l'], ['1.0.1m'], ['1.0.1n'], ['1.0.1o']]",CWE-362,"ssl/s3_clnt.c in OpenSSL 1.0.0 before 1.0.0t, 1.0.1 before 1.0.1p, and 1.0.2 before 1.0.2d, when used for a multi-threaded client, writes the PSK identity hint to an incorrect data structure, which allows remote servers to cause a denial of service (race condition and double free) via a crafted ServerKeyExchange message.","http://www.oracle.com/technetwork/security-advisory/cpuapr2016v3-2985753.html,http://www.oracle.com/technetwork/security-advisory/cpuoct2017-3236626.html"
CVE-2015-3197,5.9 MEDIUM,,,"[['1.0.1'], ['1.0.1'], ['1.0.1'], ['1.0.1'], ['1.0.1a'], ['1.0.1b'], ['1.0.1c'], ['1.0.1d'], ['1.0.1e'], ['1.0.1f'], ['1.0.1g'], ['1.0.1h'], ['1.0.1i'], ['1.0.1j'], ['1.0.1k'], ['1.0.1l'], ['1.0.1m'], ['1.0.1n'], ['1.0.1o'], ['1.0.1p'], ['1.0.1q'], ['1.0.2'], ['1.0.2'], ['1.0.2'], ['1.0.2'], ['1.0.2a'], ['1.0.2b'], ['1.0.2c'], ['1.0.2d'], ['1.0.2e']]",CWE-200,"ssl/s2_srvr.c in OpenSSL 1.0.1 before 1.0.1r and 1.0.2 before 1.0.2f does not prevent use of disabled ciphers, which makes it easier for man-in-the-middle attackers to defeat cryptographic protection mechanisms by performing computations on SSLv2 traffic, related to the get_client_master_key and get_client_hello functions.",http://www.oracle.com/technetwork/security-advisory/cpuapr2016v3-2985753.html
CVE-2016-0701,3.7 LOW,,,"[['1.0.2'], ['1.0.2'], ['1.0.2'], ['1.0.2'], ['1.0.2a'], ['1.0.2b'], ['1.0.2c'], ['1.0.2d'], ['1.0.2e']]",CWE-200,"The DH_check_pub_key function in crypto/dh/dh_check.c in OpenSSL 1.0.2 before 1.0.2f does not ensure that prime numbers are appropriate for Diffie-Hellman (DH) key exchange, which makes it easier for remote attackers to discover a private DH exponent by making multiple handshakes with a peer that chose an inappropriate number, as demonstrated by a number in an X9.42 file.",
CVE-2016-0800,5.9 MEDIUM,,,"[['1.0.1'], ['1.0.1'], ['1.0.1'], ['1.0.1'], ['1.0.1a'], ['1.0.1b'], ['1.0.1c'], ['1.0.1d'], ['1.0.1e'], ['1.0.1f'], ['1.0.1g'], ['1.0.1h'], ['1.0.1i'], ['1.0.1j'], ['1.0.1k'], ['1.0.1l'], ['1.0.1m'], ['1.0.1n'], ['1.0.1o'], ['1.0.1p'], ['1.0.1q'], ['1.0.1r'], ['1.0.2'], ['1.0.2'], ['1.0.2'], ['1.0.2'], ['1.0.2a'], ['1.0.2b'], ['1.0.2c'], ['1.0.2d'], ['1.0.2e'], ['1.0.2f']]",CWE-200,"The SSLv2 protocol, as used in OpenSSL before 1.0.1s and 1.0.2 before 1.0.2g and other products, requires a server to send a ServerVerify message before establishing that a client possesses certain plaintext RSA data, which makes it easier for remote attackers to decrypt TLS ciphertext data by leveraging a Bleichenbacher RSA padding oracle, aka a ""DROWN"" attack.",
CVE-2016-0703,5.9 MEDIUM,,"Up to (including),0.9.8ze","[[], ['1.0.0'], ['1.0.0'], ['1.0.0'], ['1.0.0'], ['1.0.0'], ['1.0.0'], ['1.0.0a'], ['1.0.0b'], ['1.0.0c'], ['1.0.0d'], ['1.0.0e'], ['1.0.0f'], ['1.0.0g'], ['1.0.0h'], ['1.0.0i'], ['1.0.0j'], ['1.0.0k'], ['1.0.0l'], ['1.0.0m'], ['1.0.0n'], ['1.0.0o'], ['1.0.0p'], ['1.0.0q'], ['1.0.1'], ['1.0.1'], ['1.0.1'], ['1.0.1'], ['1.0.1a'], ['1.0.1b'], ['1.0.1c'], ['1.0.1d'], ['1.0.1e'], ['1.0.1f'], ['1.0.1g'], ['1.0.1h'], ['1.0.1i'], ['1.0.1j'], ['1.0.1k'], ['1.0.1l'], ['1.0.2'], ['1.0.2'], ['1.0.2'], ['1.0.2']]",CWE-200,"The get_client_master_key function in s2_srvr.c in the SSLv2 implementation in OpenSSL before 0.9.8zf, 1.0.0 before 1.0.0r, 1.0.1 before 1.0.1m, and 1.0.2 before 1.0.2a accepts a nonzero CLIENT-MASTER-KEY CLEAR-KEY-LENGTH value for an arbitrary cipher, which allows man-in-the-middle attackers to determine the MASTER-KEY value and decrypt TLS ciphertext data by leveraging a Bleichenbacher RSA padding oracle, a related issue to CVE-2016-0800.",
CVE-2016-0704,5.9 MEDIUM,,"Up to (including),0.9.8ze","[[], ['1.0.0'], ['1.0.0'], ['1.0.0'], ['1.0.0'], ['1.0.0'], ['1.0.0'], ['1.0.0a'], ['1.0.0b'], ['1.0.0c'], ['1.0.0d'], ['1.0.0e'], ['1.0.0f'], ['1.0.0g'], ['1.0.0h'], ['1.0.0i'], ['1.0.0j'], ['1.0.0k'], ['1.0.0l'], ['1.0.0m'], ['1.0.0n'], ['1.0.0o'], ['1.0.0p'], ['1.0.0q'], ['1.0.1'], ['1.0.1'], ['1.0.1'], ['1.0.1'], ['1.0.1a'], ['1.0.1b'], ['1.0.1c'], ['1.0.1d'], ['1.0.1e'], ['1.0.1f'], ['1.0.1g'], ['1.0.1h'], ['1.0.1i'], ['1.0.1j'], ['1.0.1k'], ['1.0.1l'], ['1.0.2'], ['1.0.2'], ['1.0.2'], ['1.0.2']]",CWE-200,"An oracle protection mechanism in the get_client_master_key function in s2_srvr.c in the SSLv2 implementation in OpenSSL before 0.9.8zf, 1.0.0 before 1.0.0r, 1.0.1 before 1.0.1m, and 1.0.2 before 1.0.2a overwrites incorrect MASTER-KEY bytes during use of export cipher suites, which makes it easier for remote attackers to decrypt TLS ciphertext data by leveraging a Bleichenbacher RSA padding oracle, a related issue to CVE-2016-0800.",
CVE-2016-0702,5.1 MEDIUM,,,"[['1.0.1'], ['1.0.1'], ['1.0.1'], ['1.0.1'], ['1.0.1a'], ['1.0.1b'], ['1.0.1c'], ['1.0.1d'], ['1.0.1e'], ['1.0.1f'], ['1.0.1g'], ['1.0.1h'], ['1.0.1i'], ['1.0.1j'], ['1.0.1k'], ['1.0.1l'], ['1.0.1m'], ['1.0.1n'], ['1.0.1o'], ['1.0.1p'], ['1.0.1q'], ['1.0.1r'], ['1.0.2'], ['1.0.2'], ['1.0.2'], ['1.0.2'], ['1.0.2a'], ['1.0.2b'], ['1.0.2c'], ['1.0.2d'], ['1.0.2e'], ['1.0.2f']]",CWE-200,"The MOD_EXP_CTIME_COPY_FROM_PREBUF function in crypto/bn/bn_exp.c in OpenSSL 1.0.1 before 1.0.1s and 1.0.2 before 1.0.2g does not properly consider cache-bank access times during modular exponentiation, which makes it easier for local users to discover RSA keys by running a crafted application on the same Intel Sandy Bridge CPU core as a victim and leveraging cache-bank conflicts, aka a ""CacheBleed"" attack.",
CVE-2016-0705,9.8 CRITICAL,,,"[['1.0.1'], ['1.0.1'], ['1.0.1'], ['1.0.1'], ['1.0.1a'], ['1.0.1b'], ['1.0.1c'], ['1.0.1d'], ['1.0.1e'], ['1.0.1f'], ['1.0.1g'], ['1.0.1h'], ['1.0.1i'], ['1.0.1j'], ['1.0.1k'], ['1.0.1l'], ['1.0.1m'], ['1.0.1n'], ['1.0.1o'], ['1.0.1p'], ['1.0.1q'], ['1.0.1r'], ['1.0.2'], ['1.0.2'], ['1.0.2'], ['1.0.2'], ['1.0.2a'], ['1.0.2b'], ['1.0.2c'], ['1.0.2d'], ['1.0.2e'], ['1.0.2f']]",,Double free vulnerability in the dsa_priv_decode function in crypto/dsa/dsa_ameth.c in OpenSSL 1.0.1 before 1.0.1s and 1.0.2 before 1.0.2g allows remote attackers to cause a denial of service (memory corruption) or possibly have unspecified other impact via a malformed DSA private key.,"http://www.oracle.com/technetwork/security-advisory/cpuapr2016v3-2985753.html,http://www.oracle.com/technetwork/security-advisory/cpujul2016-2881720.html"
CVE-2016-0797,7.5 HIGH,,,"[['1.0.1'], ['1.0.1'], ['1.0.1'], ['1.0.1'], ['1.0.1a'], ['1.0.1b'], ['1.0.1c'], ['1.0.1d'], ['1.0.1e'], ['1.0.1f'], ['1.0.1g'], ['1.0.1h'], ['1.0.1i'], ['1.0.1j'], ['1.0.1k'], ['1.0.1l'], ['1.0.1m'], ['1.0.1n'], ['1.0.1o'], ['1.0.1p'], ['1.0.1q'], ['1.0.1r'], ['1.0.2'], ['1.0.2'], ['1.0.2'], ['1.0.2'], ['1.0.2a'], ['1.0.2b'], ['1.0.2c'], ['1.0.2d'], ['1.0.2e'], ['1.0.2f']]",,"Multiple integer overflows in OpenSSL 1.0.1 before 1.0.1s and 1.0.2 before 1.0.2g allow remote attackers to cause a denial of service (heap memory corruption or NULL pointer dereference) or possibly have unspecified other impact via a long digit string that is mishandled by the (1) BN_dec2bn or (2) BN_hex2bn function, related to crypto/bn/bn.h and crypto/bn/bn_print.c.",
CVE-2016-0798,7.5 HIGH,,,"[['1.0.1'], ['1.0.1'], ['1.0.1'], ['1.0.1'], ['1.0.1a'], ['1.0.1b'], ['1.0.1c'], ['1.0.1d'], ['1.0.1e'], ['1.0.1f'], ['1.0.1g'], ['1.0.1h'], ['1.0.1i'], ['1.0.1j'], ['1.0.1k'], ['1.0.1l'], ['1.0.1m'], ['1.0.1n'], ['1.0.1o'], ['1.0.1p'], ['1.0.1q'], ['1.0.1r'], ['1.0.2'], ['1.0.2'], ['1.0.2'], ['1.0.2'], ['1.0.2a'], ['1.0.2b'], ['1.0.2c'], ['1.0.2d'], ['1.0.2e'], ['1.0.2f']]",CWE-399,"Memory leak in the SRP_VBASE_get_by_user implementation in OpenSSL 1.0.1 before 1.0.1s and 1.0.2 before 1.0.2g allows remote attackers to cause a denial of service (memory consumption) by providing an invalid username in a connection attempt, related to apps/s_server.c and crypto/srp/srp_vfy.c.",
CVE-2016-0799,9.8 CRITICAL,,,"[['1.0.1'], ['1.0.1'], ['1.0.1'], ['1.0.1'], ['1.0.1a'], ['1.0.1b'], ['1.0.1c'], ['1.0.1d'], ['1.0.1e'], ['1.0.1f'], ['1.0.1g'], ['1.0.1h'], ['1.0.1i'], ['1.0.1j'], ['1.0.1k'], ['1.0.1l'], ['1.0.1m'], ['1.0.1n'], ['1.0.1o'], ['1.0.1p'], ['1.0.1q'], ['1.0.1r'], ['1.0.2'], ['1.0.2'], ['1.0.2'], ['1.0.2'], ['1.0.2a'], ['1.0.2b'], ['1.0.2c'], ['1.0.2d'], ['1.0.2e'], ['1.0.2f']]",CWE-119,"The fmtstr function in crypto/bio/b_print.c in OpenSSL 1.0.1 before 1.0.1s and 1.0.2 before 1.0.2g improperly calculates string lengths, which allows remote attackers to cause a denial of service (overflow and out-of-bounds read) or possibly have unspecified other impact via a long string, as demonstrated by a large amount of ASN.1 data, a different vulnerability than CVE-2016-2842.",
CVE-2015-0204,,,"Up to (including),0.9.8zc","[[], ['1.0.0a'], ['1.0.0b'], ['1.0.0c'], ['1.0.0d'], ['1.0.0e'], ['1.0.0f'], ['1.0.0g'], ['1.0.0h'], ['1.0.0i'], ['1.0.0j'], ['1.0.0k'], ['1.0.0l'], ['1.0.0m'], ['1.0.0n'], ['1.0.0o'], ['1.0.1a'], ['1.0.1b'], ['1.0.1c'], ['1.0.1d'], ['1.0.1e'], ['1.0.1f'], ['1.0.1g'], ['1.0.1h'], ['1.0.1i'], ['1.0.1j']]",CWE-310,"The ssl3_get_key_exchange function in s3_clnt.c in OpenSSL before 0.9.8zd, 1.0.0 before 1.0.0p, and 1.0.1 before 1.0.1k allows remote SSL servers to conduct RSA-to-EXPORT_RSA downgrade attacks and facilitate brute-force decryption by offering a weak ephemeral RSA key in a noncompliant role, related to the ""FREAK"" issue.  NOTE: the scope of this CVE is only client code based on OpenSSL, not EXPORT_RSA issues associated with servers or other TLS implementations.",
CVE-2015-0205,,,,"[['1.0.0a'], ['1.0.0b'], ['1.0.0c'], ['1.0.0d'], ['1.0.0e'], ['1.0.0f'], ['1.0.0g'], ['1.0.0h'], ['1.0.0i'], ['1.0.0j'], ['1.0.0k'], ['1.0.0l'], ['1.0.0m'], ['1.0.0n'], ['1.0.0o'], ['1.0.1a'], ['1.0.1b'], ['1.0.1c'], ['1.0.1d'], ['1.0.1e'], ['1.0.1f'], ['1.0.1g'], ['1.0.1h'], ['1.0.1i'], ['1.0.1j']]",CWE-310,"The ssl3_get_cert_verify function in s3_srvr.c in OpenSSL 1.0.0 before 1.0.0p and 1.0.1 before 1.0.1k accepts client authentication with a Diffie-Hellman (DH) certificate without requiring a CertificateVerify message, which allows remote attackers to obtain access without knowledge of a private key via crafted TLS Handshake Protocol traffic to a server that recognizes a Certification Authority with DH support.",
CVE-2015-0206,,,,"[['1.0.0a'], ['1.0.0b'], ['1.0.0c'], ['1.0.0d'], ['1.0.0e'], ['1.0.0f'], ['1.0.0g'], ['1.0.0h'], ['1.0.0i'], ['1.0.0j'], ['1.0.0k'], ['1.0.0l'], ['1.0.0m'], ['1.0.0n'], ['1.0.0o'], ['1.0.1a'], ['1.0.1b'], ['1.0.1c'], ['1.0.1d'], ['1.0.1e'], ['1.0.1f'], ['1.0.1g'], ['1.0.1h'], ['1.0.1i'], ['1.0.1j']]",CWE-119,"Memory leak in the dtls1_buffer_record function in d1_pkt.c in OpenSSL 1.0.0 before 1.0.0p and 1.0.1 before 1.0.1k allows remote attackers to cause a denial of service (memory consumption) by sending many duplicate records for the next epoch, leading to failure of replay detection.",
CVE-2015-0207,,,,"[['1.0.2'], ['1.0.2'], ['1.0.2'], ['1.0.2']]",,"The dtls1_listen function in d1_lib.c in OpenSSL 1.0.2 before 1.0.2a does not properly isolate the state information of independent data streams, which allows remote attackers to cause a denial of service (application crash) via crafted DTLS traffic, as demonstrated by DTLS 1.0 traffic to a DTLS 1.2 server.",http://www.oracle.com/technetwork/security-advisory/cpuoct2017-3236626.html
CVE-2015-0208,,,,"[['1.0.2'], ['1.0.2'], ['1.0.2'], ['1.0.2']]",,The ASN.1 signature-verification implementation in the rsa_item_verify function in crypto/rsa/rsa_ameth.c in OpenSSL 1.0.2 before 1.0.2a allows remote attackers to cause a denial of service (NULL pointer dereference and application crash) via crafted RSA PSS parameters to an endpoint that uses the certificate-verification feature.,http://www.oracle.com/technetwork/security-advisory/cpuoct2017-3236626.html
CVE-2015-0209,,,"Up to (including),0.9.8ze","[[], ['1.0.0'], ['1.0.0a'], ['1.0.0b'], ['1.0.0c'], ['1.0.0d'], ['1.0.0e'], ['1.0.0f'], ['1.0.0g'], ['1.0.0h'], ['1.0.0i'], ['1.0.0j'], ['1.0.0k'], ['1.0.0l'], ['1.0.0m'], ['1.0.0n'], ['1.0.0o'], ['1.0.0p'], ['1.0.0q'], ['1.0.1'], ['1.0.1a'], ['1.0.1b'], ['1.0.1c'], ['1.0.1d'], ['1.0.1e'], ['1.0.1f'], ['1.0.1g'], ['1.0.1h'], ['1.0.1i'], ['1.0.1j'], ['1.0.1k'], ['1.0.1l'], ['1.0.2']]",,"Use-after-free vulnerability in the d2i_ECPrivateKey function in crypto/ec/ec_asn1.c in OpenSSL before 0.9.8zf, 1.0.0 before 1.0.0r, 1.0.1 before 1.0.1m, and 1.0.2 before 1.0.2a might allow remote attackers to cause a denial of service (memory corruption and application crash) or possibly have unspecified other impact via a malformed Elliptic Curve (EC) private-key file that is improperly handled during import.",
